time,btc_ok
2026-06-07T17:37:00.611145+00:00,1
2026-06-07T21:21:17.312878+00:00,1
2026-06-08T04:57:08.295091+00:00,1
2026-06-08T12:41:24.904545+00:00,1
2026-06-08T18:31:42.996901+00:00,1
2026-06-08T21:58:00.910136+00:00,1
2026-06-09T04:19:24.431124+00:00,1
2026-06-09T11:27:25.450953+00:00,1
2026-06-09T15:24:10.090913+00:00,1
2026-06-09T18:18:11.150204+00:00,1
2026-06-09T21:56:17.957382+00:00,1
2026-06-10T04:40:13.275573+00:00,1
2026-06-10T11:47:00.687231+00:00,1
2026-06-10T16:00:36.594266+00:00,1
2026-06-10T18:38:21.579495+00:00,1
2026-06-10T22:15:53.910799+00:00,1
2026-06-11T04:53:41.063319+00:00,1
2026-06-11T12:16:52.650267+00:00,1
2026-06-11T18:52:23.241465+00:00,1
2026-06-11T22:09:04.070303+00:00,1
2026-06-12T04:57:03.420102+00:00,1
2026-06-12T11:50:36.564065+00:00,1
2026-06-12T15:34:42.031781+00:00,1
2026-06-12T18:16:01.427074+00:00,1
2026-06-12T21:58:12.175321+00:00,1
2026-06-13T04:43:36.577678+00:00,1
2026-06-13T10:36:04.951184+00:00,1
2026-06-13T14:20:32.205184+00:00,1
2026-06-13T17:41:08.476851+00:00,1
2026-06-13T21:23:58.058670+00:00,1
2026-06-14T05:01:36.103184+00:00,1
2026-06-14T10:53:56.024065+00:00,1
2026-06-14T14:23:05.479971+00:00,1
2026-06-14T17:39:25.209426+00:00,1
2026-06-14T21:23:57.375833+00:00,1
2026-06-15T05:21:50.081663+00:00,1
2026-06-15T14:32:52.115310+00:00,1
2026-06-15T19:53:29.666273+00:00,1
2026-06-15T22:25:05.456580+00:00,1
2026-06-16T05:25:37.326262+00:00,1
2026-06-16T13:02:29.265741+00:00,1
2026-06-16T19:47:55.762149+00:00,1
2026-06-16T22:21:22.475160+00:00,1
2026-06-17T05:05:21.523912+00:00,1
2026-06-17T12:23:49.360933+00:00,1
2026-06-17T18:29:02.949941+00:00,1
2026-06-17T22:08:58.278563+00:00,1
2026-06-18T04:54:55.208054+00:00,1
2026-06-18T11:56:16.180259+00:00,1
2026-06-18T15:49:01.870068+00:00,1
2026-06-18T18:32:42.179796+00:00,1
2026-06-18T22:22:48.453662+00:00,1
2026-06-19T05:18:37.360779+00:00,1
2026-06-19T09:07:05.798611+00:00,1
2026-06-19T09:10:12.503407+00:00,1
2026-06-19T09:37:43.243701+00:00,1
2026-06-19T09:44:11.144339+00:00,0
2026-06-19T10:12:56.109300+00:00,0
2026-06-19T10:17:09.044272+00:00,0
2026-06-19T12:16:16.857369+00:00,0
2026-06-19T18:04:56.544908+00:00,0
2026-06-19T21:18:08.718177+00:00,0
2026-06-20T04:26:43.717750+00:00,0
2026-06-20T10:38:54.299007+00:00,0
2026-06-20T14:25:32.762307+00:00,0
2026-06-20T17:42:12.260226+00:00,0
2026-06-20T21:25:52.559679+00:00,0
2026-06-21T05:10:43.917169+00:00,0
2026-06-21T11:22:56.798227+00:00,0
2026-06-21T14:29:13.710790+00:00,0
2026-06-21T17:47:21.347168+00:00,0
2026-06-21T21:25:05.168995+00:00,0
2026-06-22T05:23:51.158924+00:00,0
2026-06-22T13:42:56.213681+00:00,0
2026-06-22T19:38:41.951662+00:00,0
2026-06-22T22:11:13.828556+00:00,0
2026-06-23T04:16:08.120625+00:00,0
2026-06-23T11:26:50.832333+00:00,0
2026-06-23T15:20:39.669626+00:00,0
2026-06-23T18:08:06.886693+00:00,0
2026-06-23T21:48:34.631838+00:00,0
2026-06-24T04:19:29.985378+00:00,0
2026-06-24T11:13:00.159194+00:00,0
2026-06-24T14:50:49.236842+00:00,0
2026-06-24T18:03:52.513892+00:00,0
2026-06-24T21:40:10.291968+00:00,0
2026-06-25T04:19:14.144525+00:00,0
2026-06-25T10:50:40.703389+00:00,0
2026-06-25T14:54:03.218930+00:00,0
2026-06-25T18:21:39.836116+00:00,0
2026-06-25T21:49:59.199814+00:00,0
2026-06-26T04:25:24.194344+00:00,0
2026-06-26T11:11:52.200951+00:00,0
2026-06-26T14:42:38.075966+00:00,0
2026-06-26T16:57:15.099001+00:00,0
2026-06-26T18:00:18.606613+00:00,0
2026-06-26T21:26:21.399286+00:00,0
2026-06-27T04:11:54.412321+00:00,0
2026-06-27T10:19:16.961708+00:00,0
2026-06-27T14:02:11.537468+00:00,0
2026-06-27T17:20:07.617279+00:00,0
2026-06-27T21:15:12.554743+00:00,0
2026-06-28T04:46:06.819252+00:00,0
